iter	Passed	Remaining
0	134	133974
1	134	67146
2	135	44867
3	135	33724
4	135	27040
5	136	22582
6	136	19397
7	137	17009
8	137	15151
9	138	13666
10	138	12458
11	139	11447
12	139	10590
13	139	9857
14	140	9223
15	140	8666
16	141	8175
17	141	7736
18	142	7343
19	142	6991
20	143	6671
21	143	6380
22	143	6115
23	144	5877
24	144	5654
25	145	5449
26	145	5258
27	146	5079
28	146	4914
29	147	4759
30	147	4614
31	148	4478
32	148	4350
33	148	4230
34	149	4117
35	149	4010
36	150	3911
37	150	3817
38	151	3726
39	151	3639
40	152	3556
41	152	3478
42	152	3404
43	153	3333
44	153	3264
45	154	3199
46	154	3136
47	155	3076
48	155	3018
49	156	2966
50	156	2913
51	157	2862
52	157	2812
53	157	2765
54	158	2719
55	158	2675
56	159	2633
57	159	2591
58	160	2552
59	160	2513
60	160	2476
61	161	2439
62	161	2404
63	162	2375
64	162	2342
65	163	2311
66	163	2280
67	164	2250
68	164	2221
69	165	2193
70	165	2165
71	165	2138
72	166	2112
73	166	2087
74	167	2062
75	167	2038
76	168	2017
77	168	1995
78	169	1973
79	169	1951
80	170	1930
81	170	1909
82	170	1886
83	171	1867
84	171	1847
85	172	1829
86	172	1811
87	173	1793
88	173	1775
89	173	1758
90	174	1742
91	174	1726
92	175	1710
93	175	1694
94	176	1679
95	176	1663
96	177	1648
97	177	1634
98	177	1619
99	178	1605
100	178	1591
101	179	1577
102	179	1564
103	180	1551
104	180	1540
105	181	1528
106	181	1516
107	182	1503
108	182	1491
109	182	1480
110	183	1468
111	183	1457
112	184	1446
113	184	1435
114	185	1424
115	185	1414
116	185	1403
117	186	1392
118	186	1383
119	187	1373
120	187	1363
121	188	1353
122	188	1344
123	188	1335
124	189	1325
125	189	1316
126	190	1307
127	190	1298
128	191	1290
129	191	1281
130	191	1272
131	192	1264
132	192	1256
133	193	1249
134	193	1241
135	194	1233
136	194	1225
137	194	1217
138	195	1210
139	195	1202
140	196	1195
141	196	1187
142	196	1180
143	197	1173
144	197	1166
145	198	1159
146	198	1152
147	199	1146
148	199	1139
149	200	1133
150	200	1126
151	200	1120
152	201	1114
153	201	1108
154	202	1101
155	202	1095
156	202	1089
157	203	1083
158	203	1078
159	204	1072
160	204	1065
161	204	1060
162	205	1055
163	205	1049
164	206	1044
165	206	1039
166	207	1033
167	207	1028
168	208	1023
169	208	1018
170	209	1013
171	209	1008
172	209	1003
173	210	998
174	210	993
175	211	988
176	211	984
177	212	979
178	212	975
179	213	970
180	213	965
181	213	961
182	214	956
183	214	952
184	215	947
185	215	943
186	215	939
187	216	934
188	216	930
189	217	926
190	218	924
191	218	920
192	219	916
193	219	913
194	220	909
195	220	905
196	221	901
197	221	897
198	222	894
199	222	890
200	223	886
201	223	882
202	223	879
203	224	876
204	224	872
205	225	868
206	226	866
207	226	862
208	227	859
209	227	855
210	227	852
211	228	848
212	228	845
213	229	842
214	229	838
215	230	835
216	230	832
217	231	829
218	231	826
219	232	822
220	232	819
221	233	816
222	233	813
223	233	810
224	234	807
225	234	803
226	235	800
227	235	797
228	236	794
229	239	803
230	240	800
231	240	797
232	241	794
233	241	791
234	242	788
235	242	785
236	243	783
237	243	780
238	244	777
239	244	774
240	244	771
241	245	768
242	245	765
243	246	763
244	246	760
245	247	757
246	247	754
247	247	751
248	248	749
249	248	746
250	249	744
251	249	741
252	250	738
253	250	735
254	251	733
255	251	730
